Complexity,Loss,Equation
1,0.9418182,"x0"
2,0.9418172,"5.342838"
3,0.5590851,"x5 - x1"
4,0.42280006,"49.447006 - x4"
5,0.42112508,"cube(49.519756 - x4)"
6,0.19272803,"22341.896 - (x4 * x1)"
7,0.19272727,"cube(22341.184 - (x4 * x1))"
8,0.16740398,"((x5 / x4) * 53.30762) - x1"
9,0.1459513,"sqrt(x5) + ((13147.055 / x1) - x4)"
10,0.13029107,"((x5 * (64.463036 / x4)) - x1) - x4"
11,0.12207167,"(((39.38451 / x1) - -0.037584204) * x5) - x4"
12,0.098775744,"(x5 * (x3 + (x2 + (39.37841 / x1)))) - x4"
13,0.09688199,"cube((x5 * ((x2 + x3) + (39.810284 / x1))) - x4)"
14,0.09309091,"((x5 * ((x2 + x3) + (40.766644 / x1))) - x4) * x5"
16,0.0914893,"(((x5 * ((x3 + (39.380043 / x1)) + x2)) - x4) / x2) + x4"
17,0.09090909,"((x5 * ((x2 + x3) + (39.09475 / x1))) - (x4 - sin(x1))) / x2"
18,0.08870081,"((cos(tan(x4)) + (x5 * (((39.9852 / x1) + x2) + x3))) - x4) / x2"
19,0.08813045,"(tan(cos(tan(x4))) + ((x5 * (((39.822914 / x1) + x3) + x2)) - x4)) / x3"
20,0.06930523,"(((x5 / x1) - ((x4 * 0.024096068) - 0.62342197)) + (-0.01068499 / (x3 + x2))) * x0"
21,0.06909091,"(((x5 / x1) - ((x4 * 0.024096068) - 0.62342197)) + (-0.01068499 / (x3 + x2))) * cube(x5)"
26,0.06908905,"((-0.010650474 / (x2 + x3)) + ((x5 / x1) - ((x4 * 0.02410592) - 0.6235491))) * ((x1 * 1.4799174) / 0.29889014)"
28,0.06690909,"tan(x1 / (x2 - 1.1983081)) + (x0 / (((x5 / x1) - ((x4 * 0.0233233) - 0.5754932)) + (-0.010070678 / (x3 + x2))))"
33,0.06472727,"(tan((1.3725529 - x3) * sqrt(x1 * (x3 + x4))) + x0) / (((x5 / x1) - ((0.0233233 * x4) - 0.5754932)) + (-0.010070678 / (x2 + x3)))"
40,0.06327273,"(((-0.110558845 / x2) / x3) + inv(x3)) + ((((((log(x1) / x1) * x5) - ((x4 * 0.11076832) - cos(cos(cube(x1))))) * x0) + tan(x4 + sin(log(x2 + x2)))) + 107.11843)"
41,0.06256064,"((-0.110558845 / x2) / x3) + (107.85929 + ((tan(inv(cos((0.963792 - x1) - x5))) + inv(x3)) + (x0 * (((log(x1) * x5) / x1) - ((x4 * 0.11076832) - cos(cos(cube(x1))))))))"
42,0.062545456,"cube(((-0.110558845 / x2) / x3) + (107.85929 + ((tan(inv(cos((0.963792 - x1) - x5))) + inv(x3)) + (x0 * ((log(x1) * (x5 / x1)) - ((x4 * 0.11076832) - cos(cos(cube(x1)))))))))"
44,0.06181851,"inv(x3) + ((((((x5 * log(x1)) / x1) - ((x4 * 0.11092235) - cos(cos(cube(x1))))) * x0) + ((tan(x4) + ((-0.11055214 / x2) / x3)) + 107.85929)) + tan(inv(cos(x5 - (0.9637921 - x1)))))"
45,0.061818182,"cube((((tan(inv(cos((0.963792 - x1) - x5))) + inv(x3)) + (((-0.11055857 / x2) / x3) + 107.85929)) + ((((x5 / x1) * log(x1)) - ((x4 * 0.11077442) - cos(cos(cube(x1))))) * x0)) + tan(x4))"
49,0.061097283,"((((-0.11055219 / x2) / x3) + ((inv(x3) + (((x5 * (log(x1) / x1)) - ((x4 * 0.11091448) - cos(cos(cube(x1))))) * (x0 + tan(x4 + sin(log(x2 + x2)))))) + 107.11843)) + tan(x4)) - tan(x0 * -0.70907533)"
50,0.06109091,"cube((((inv(x3) + (((x5 * (log(x1) / x1)) - ((x4 * 0.110901386) - cos(cos(cube(x1))))) * (x0 + tan(x4 + sin(log(x2 + x2)))))) + (((-0.11055323 / x2) / x3) + 107.11843)) + tan(x4)) - tan(x0 * -0.7090756))"
