Complexity,Loss,Equation
1,0.9316364,"x0"
3,0.57270277,"x5 - x1"
4,0.42307475,"48.737305 - x4"
5,0.42211714,"cube(49.250305 - x4)"
6,0.21289603,"cube(x5 / x4) - x1"
7,0.21224077,"cube(cube(x5 / x4) - x1)"
8,0.17687394,"(x4 + cube(x5 / x4)) - x1"
9,0.14089382,"x4 - square(x1 * square(x4 / x5))"
10,0.13835712,"x4 - square(square(tan(x4 / x5)) * x1)"
12,0.12582733,"x4 - square(sin(x0) + (x1 * square(x4 / x5)))"
13,0.1250715,"x4 - square((x1 * square(x4 / x5)) + tan(sin(x0)))"
14,0.11922317,"x4 - square((x1 * square(x4 / x5)) - square(sin(cube(x1))))"
15,0.11854546,"sqrt(cube(x5)) + ((x1 / 0.163695) - ((x1 * x4) / 2.1307437))"
16,0.117818184,"(x4 - square((x1 * square(x4 / x5)) - cube(sin(square(x1))))) * x5"
18,0.10763636,"(((log(x0) - ((x4 / 2.0608082) + sin(x0))) * x1) + cube(sqrt(x5))) * x1"
19,0.10690909,"((x1 * log(x0)) - (x1 * ((x4 / 2.0608082) + sin(sin(x0))))) + cube(sqrt(x5))"
20,0.104029566,"x1 + ((cube(sqrt(x5)) + (log(x5) * x1)) - (((x4 / 2.049075) + sin(x0)) * x1))"
21,0.104,"((x1 + cube(sqrt(x5))) - (x1 * ((x4 / 2.0483642) + sin(sin(x0))))) + (x1 * log(x5))"
22,0.10338991,"((x1 - ((sin(x0) + (x4 / 2.0476527)) * x1)) + (x1 * log(x5))) + cube(sqrt(x5) + x3)"
23,0.10338943,"((x1 - (x1 * (sin(x0) + (x4 / 2.0476527)))) + (x1 * log(x5))) + cube(sqrt(x5) + tan(x3))"
24,0.10327273,"x1 * ((cube(sqrt(x5) + x3) - (((x4 / 2.0483642) + sin(x0)) * x1)) + ((log(x5) * x1) + x1))"
25,0.10035565,"(((x1 + (x1 * log(x5))) - (x1 * (sin(x0) + (x4 / 2.0483642)))) - tan(cube(square(x1)))) + cube(sqrt(x5))"
27,0.10035509,"((((x1 + (x1 * log(x5))) - (x1 * (sin(x0) + (x4 / 2.0483642)))) - tan(cube(square(x1)))) + cube(sqrt(x5))) + x2"
28,0.09963636,"sqrt(cube(x5)) + ((x1 + ((x1 * log(x5)) - (x1 * (sin(x2 + sin(x0)) + (x4 / 2.0483642))))) - tan(cube(square(x1))))"
30,0.097460136,"(((cube(sqrt(x5)) + x1) + (square(x3 * x5) + (x1 * log(x5)))) - (x1 * (sin(x0) + (x4 / 2.0483642)))) - tan(cube(square(x1)))"
31,0.09745455,"cube((((cube(sqrt(x5)) + x1) + (square(x3 * x5) + (x1 * log(x5)))) - (x1 * (sin(x0) + (x4 / 2.0483642)))) - tan(cube(square(x1))))"
32,0.09672998,"(((cube(sqrt(x5)) + x1) + (square(x3 * x5) + (x1 * log(x5)))) - (x1 * (sin(x3 + x0) + (x4 / 2.0483642)))) - tan(cube(square(x1)))"
33,0.096727274,"cube((((cube(sqrt(x5)) + x1) + (square(x3 * x5) + (x1 * log(x5)))) - (x1 * (sin(x3 + x0) + (x4 / 2.0483642)))) - tan(cube(square(x1))))"
44,0.096,"sqrt(cube(x5)) + (((((inv(tan((x4 / (x2 - x5)) - x1)) + x1) * (sqrt(x4) + cos(tan(sin(x1) + x1)))) + ((sqrt(x4) + (exp(sin(tan(x5) + x1)) - x4)) * x1)) / 1.8743573) + x1)"
45,0.09527285,"(((((((exp(sin(tan(x5) + x1)) - x4) + sqrt(x4)) * x1) + tan(4.735897 / (x2 - tan(x5 - x1)))) + ((sqrt(x4) + cos(tan(x1 + sin(x1)))) * x1)) / 1.8732957) + x1) + cube(sqrt(x5))"
47,0.09527273,"((sqrt(cube(x5)) + x1) + (((((cos(tan(sin(x1) + x1)) + sqrt(x4)) * x1) + tan(4.735898 / (x2 - tan(x5 - x1)))) + (((sqrt(x4) + exp(sin(x1 + tan(x5)))) - x4) * x1)) / 1.8732847)) / x3"
