Complexity,Loss,Equation
1,0.91563636,"x5"
2,0.9156362,"5.3433337"
3,0.5642168,"x5 - x1"
4,0.4194344,"48.667633 - x4"
5,0.41851455,"cube(49.280605 - x4)"
6,0.19127272,"25727.543 - (x4 * x1)"
7,0.18011655,"x5 - (x1 * tan(log(x4)))"
8,0.12509091,"square(square(x5) / x1) - cube(x4)"
10,0.11490909,"square((x5 / x1) * 439.07587) - cube(x4)"
11,0.10954077,"(x5 * ((37.226257 / x1) + 0.043582752)) - x4"
12,0.08942977,"x5 - (x4 / ((41.7142 / x1) + (x2 + x3)))"
13,0.08938395,"cube(x5 - (x4 / ((x3 + x2) + (41.76537 / x1))))"
14,0.08872727,"((x5 * ((41.645615 / x1) + (x2 + x3))) - x4) * x5"
15,0.08870131,"cos(x0) + (x5 - (x4 / ((x3 + x2) + (41.743187 / x1))))"
16,0.08549857,"x4 + (((((x3 + (39.43276 / x1)) + x2) * x5) - x4) / x2)"
17,0.08544701,"(((x5 * (x3 + ((39.43279 / x1) + tan(x2)))) - x4) / x2) + x4"
18,0.085090905,"((((x5 * ((x3 + (39.43281 / x1)) + x2)) - x4) / x2) + x4) * x5"
19,0.0785455,"((((x3 + ((42.500286 / x1) + x2)) * x5) - x4) * x4) - (sin(x1) / x2)"
20,0.07357249,"(((x5 * ((41.529766 / x1) + (x3 + x2))) - x4) * x4) - (sin(square(x4)) / x2)"
21,0.073507465,"cube((((x5 * ((41.529766 / x1) + (x3 + x2))) - x4) * x4) - (sin(square(x4)) / x2))"
22,0.073454544,"((x4 * (((x2 + (x3 + (41.673737 / x1))) * x5) - x4)) - (sin(square(x4)) / x2)) * x5"
23,0.07280794,"(x4 * ((((x2 + x3) + (41.673737 / (x1 - -2.1448944))) * x5) - x4)) - (sin(square(x4)) / x2)"
24,0.07274263,"cube((((((x2 + x3) + (41.673737 / (x1 - -2.1448944))) * x5) - x4) * x4) - (sin(square(x4)) / x2))"
25,0.07272727,"((x4 * ((((x2 + x3) + (41.673737 / (x1 - -2.1448944))) * x5) - x4)) - (sin(square(x4)) / x2)) * x5"
27,0.06873091,"cube(cube((((x5 * (((41.253727 / x1) + x3) + x2)) - x4) * x5) / inv(x2)) * x2) - (sin(inv(x3)) / x2)"
28,0.068492085,"cube(x2 * cube(((x5 * ((41.253727 / x1) + (x3 + x2))) - x4) * (x5 / inv(x2)))) - (sin(inv(tan(x3))) / x2)"
29,0.06839502,"cube(x2 * cube((((x5 * ((41.253727 / x1) + (x3 + x2))) - x4) * x5) / inv(x2))) - (sin(inv(tan(tan(x3)))) / x2)"
30,0.06690716,"cube(x2 * cube((x5 / inv(x2)) * ((x5 * ((41.297714 / x1) + (x2 + x3))) - x4))) - (cos(inv(sin(tan(inv(x2))))) / x2)"
31,0.066180065,"cube(cube((x5 * ((x5 * ((x2 + x3) + (41.176357 / x1))) - x4)) / inv(x2)) * x2) - (cos(inv(tan(tan(inv(x2))))) / inv(x5))"
32,0.065640435,"cube(x2 * cube((x5 * ((((41.175407 / x1) + tan(x2 + x3)) * x5) - x4)) / inv(x2))) - (cos(inv(tan(tan(inv(x2))))) / inv(x5))"
33,0.06482226,"log(x0) + (cube(cube((x5 / inv(x2)) * ((((41.29726 / x1) + (x3 + x2)) * x5) - x4)) * x2) - (cos(inv(sin(tan(inv(x2))))) / x2))"
34,0.064,"((cube(x2 * cube(x5 * ((((((41.253727 / x1) + x2) + x3) * x5) - x4) / inv(x2)))) - (cos(inv(sin(tan(inv(x2))))) / x2)) / x3) + x1"
43,0.062903255,"(((square(tan(square(x5)) - tan(log(x2))) - x5) * sin(inv(x3))) - (x4 + x4)) + cube(cube(((((x3 + x2) + (41.358627 / x1)) * x5) - x4) * (x5 / (inv(x2) - sqrt(x4)))) * x2)"
44,0.0625551,"(((square(tan(square(x5)) - tan(log(x2))) - x5) * sin(inv(x3))) - (x4 + x4)) + cube(cube(((((tan(x3) + (x2 + (41.358627 / x1))) * x5) - x4) * x5) / (inv(x2) - sqrt(x4))) * x2)"
45,0.062545456,"((sin(inv(x3)) * (square(tan(square(x5)) - tan(log(x2))) - x5)) + (cube(cube(x5 * (((((41.358627 / x1) + (x3 + x2)) * x5) - x4) / (inv(x2) - sqrt(x4)))) * x2) - (x4 + x4))) * x0"
