Complexity,Loss,Equation
1,0.92654544,"x5"
3,0.5628593,"x5 - x1"
4,0.41316938,"48.525505 - x4"
5,0.4117095,"cube(49.172966 - x4)"
6,0.1968797,"cube(x5 / x4) - x1"
7,0.19618708,"cube(cube(x5 / x4) - x1)"
8,0.17185487,"cube(x5 / x4) + (x4 - x1)"
9,0.16974777,"cube(x5 / x4) + (66.11427 - x1)"
10,0.12464134,"(x5 - x1) + (cube(x5 / x4) - x1)"
11,0.119042814,"((x1 / -0.4842387) + x5) + cube(x5 / x4)"
12,0.1189541,"cube((x5 + (x1 / -0.48368368)) + cube(x5 / x4))"
13,0.116838336,"cube(x5 / x4) + ((x1 / (-0.47168055 - x2)) + x5)"
14,0.10619942,"(x5 + square(x5 * (-4.2772264 / x4))) + (-3.3842673 * x1)"
15,0.10618183,"cube((x5 + (x1 * -3.3842673)) + square(x5 * (-4.2772264 / x4)))"
16,0.10545454,"((x5 + square((x5 * -4.2772264) / x4)) + (x1 * -3.3842673)) * x1"
17,0.09827404,"((x5 + square(-3.7008963 * (x5 / x4))) - inv(x2)) + (x1 * -2.5811703)"
18,0.098045565,"cube((square((x5 / x4) * -3.701109) + (x5 - inv(x2))) + (x1 * -2.580788))"
19,0.09694409,"((x1 * -2.8815758) + (x5 - inv(x2))) + square((-1.9686395 / x4) * (x5 + x5))"
20,0.096830525,"cube(square(((x5 + x5) * -1.9685196) / x4) + (((-2.8815942 * x1) + x5) - inv(x2)))"
21,0.096,"x4 * (square(((x5 + x5) * 1.9694811) / x4) + (x5 + ((x1 * -2.881524) - inv(x2))))"
22,0.09461189,"square((x5 + x5) * (-1.9685196 / x4)) + (((x5 - inv(x2)) + (-2.8815942 * x1)) - tan(x1))"
23,0.094503865,"cube((x5 + ((square(((x5 + x5) * 1.968881) / x4) - tan(x1)) - inv(x2))) + (x1 * -2.8820953))"
24,0.09331402,"(((-2.8815942 * x1) + (x5 - inv(x2))) - tan(x2 - x0)) + square(1.9690814 * ((x5 + x5) / x4))"
25,0.089666605,"(-2.8814285 * x1) + ((square((1.9698086 * (x5 + x5)) / x4) + (x5 - inv(x2))) - tan(-2.256802 - x0))"
26,0.08946118,"cube(((((x1 * -2.8800066) + square((x5 + x5) * (1.9709653 / x4))) + x5) - inv(x2)) - tan(-2.2555974 - x0))"
27,0.08945455,"x1 * (((x1 * -2.8814285) + ((square(((x5 + x5) / x4) * 1.9698086) + x5) - inv(x2))) - tan(-2.256802 - x0))"
29,0.0891265,"cube((x1 * -2.8814285) + (((square(((x5 + x5) / x4) * 1.9698086) + (x5 - inv(x2))) - tan(-2.256802 - x0)) - sin(x0)))"
