Complexity,Loss,Equation
1,0.92654544,"x0"
2,0.92654467,"5.343126"
3,0.55899256,"x5 - x1"
4,0.41754815,"48.84718 - x4"
5,0.4162429,"cube(49.444954 - x4)"
6,0.20399627,"cube(x5 / x4) - x1"
7,0.20319545,"cube(cube(x5 / x4) - x1)"
8,0.17279722,"cube(x5 / x4) + (x4 - x1)"
9,0.14440536,"square(x5 * (-2.700812 / x4)) - x1"
10,0.122775815,"x5 - (x4 * square(3.3387144 - log(x1)))"
11,0.11986649,"(x4 + square((x5 * -2.4655774) / x4)) - x1"
12,0.10956706,"x5 - (x4 + (square(3.4678485 - log(x1)) * x4))"
13,0.10820841,"x5 - ((square(3.4908025 - log(x1)) - -1.0946797) * x4)"
14,0.10731947,"cube(x5 - ((square(3.48884 - log(x1)) - -1.0946797) * x4))"
15,0.10327273,"(x5 - ((square(3.4919717 - log(x1)) - -1.0941706) * x4)) * x5"
17,0.09381818,"(x5 * (x5 - (square(log(x1) - 3.3678317) * x4))) - (inv(x3) / x2)"
19,0.087272726,"(x5 * (x5 - (x4 * square(3.3936367 - log(x1))))) - ((inv(x3) + x4) / x2)"
20,0.086843066,"cube((x5 * (x5 - (x4 * square(log(x1) - 3.3917677)))) - ((inv(x3) + x4) / x2))"
21,0.083636366,"((x5 - (x4 * square(log(x1) - 3.415959))) * x5) - ((x4 + (1.2825745 / x3)) / x2)"
25,0.08290909,"(x5 * (log(x1) + (x5 - (x4 * square(3.4065254 - log(x1)))))) - ((x4 + inv(x3)) * (1.2783768 / x2))"
27,0.079272725,"((x5 - (square(log(x1) - 3.415959) * x4)) * x5) - (((x4 + tan(x1 - x4)) + inv(x3)) / (0.7501208 * x2))"
28,0.07709091,"(x5 * (x5 - (square(3.415959 - log(x1)) * x4))) - ((tan(x1 - 0.80208236) + (inv(x3) + x4)) / (x2 * 0.7842894))"
30,0.072,"((x5 * (x5 - (square(log(x1) - 3.4158869) * x4))) - ((inv(x3) + x4) / (x2 * 0.7978064))) - (x5 * tan(x1 - 0.80454034))"
35,0.06690909,"((x5 * (x5 - (square(log(x1) - 3.4158869) * x4))) - ((inv(x3) + (tan(x1 - x4) + x4)) / (x2 * 0.7978064))) - (x5 * tan(x1 - 0.80454034))"
