Complexity,Loss,Equation
1,0.9211051,"Pressure"
2,0.46567392,"tan(length)"
3,0.45602083,"cube(tan(length))"
4,0.456,"cube(inv(cos(length)))"
5,0.25954452,"inv(sin(q + length))"
6,0.23546968,"cube(inv(sin(q + length)))"
7,0.20058456,"11.649798 - cube(length * q)"
8,0.1854954,"tan(sqrt((q + 0.13375242) * length))"
9,0.17890914,"cube(tan(sqrt((q + 0.12436602) * length)))"
10,0.17196128,"(cube(Pressure) + 7.8093333) - cube(length * q)"
11,0.15586472,"(cube(square(length)) * (1.0669906 - q)) + exp(Pressure)"
12,0.14314605,"exp(Pressure) - ((square(length) + -1.6263398) * cube(square(q)))"
13,0.13813336,"((q - square(q)) * square(cube(length))) + (Pressure * 5.4302673)"
14,0.12668204,"square(Pressure + Pressure) - ((square(length) + -1.7891437) * cube(cube(q)))"
15,0.11614724,"square(Pressure * 2.2840889) - ((square(length) + -1.6803225) * cube(cube(q)))"
16,0.11338373,"square((q * Pressure) + Pressure) - ((square(length) + -1.6358342) * cube(cube(q)))"
17,0.11272727,"((cube(Pressure) + length) - ((square(length) + -1.5950035) * cube(square(q)))) / 6.974631e-8"
18,0.10909091,"(square(Pressure * 2.2653668) - (cube(cube(q)) * (square(length) + -1.6752772))) / 0.0028814168"
19,0.10690909,"((square(Pressure + Pressure) * q) - ((square(length) + -1.6420549) * cube(cube(q)))) / 6.1192084e-5"
20,0.10326543,"((flow_shale + (cube(Pressure) + 0.8440493)) - ((square(length) + -1.5403012) * square(cube(q)))) / 0.00303845"
21,0.10084846,"(((sin(square(Tin)) + cube(Pressure)) + length) - (cube(square(q)) * (square(length) + -1.5411525))) / 0.009230235"
22,0.10073277,"cube(((length + (cube(Pressure) - (square(cube(q)) * (square(length) + -1.5411525)))) + sin(square(Tin))) / 0.010699746)"
23,0.09163637,"(cube(sqrt(Tin) + (cube(Pressure) - ((square(length) + -1.6326646) * square(cube(q))))) + sin(square(Tin))) / 5.7651914e-7"
27,0.090271614,"((cube((1.362612 - (cube(square(q)) * (square(length) + -1.6261675))) + cube(Pressure)) + sin(square(Tin))) / 0.01266191) - tan(square(Tin))"
28,0.08945512,"tan(q) + ((sin(square(Tin)) + (Pressure * cube(cube(Pressure) + (1.358044 - ((square(length) + -1.6290182) * cube(square(q))))))) / 0.005182895)"
29,0.088878915,"(((cube((1.3884187 - (cube(square(q)) * (-1.6261675 + square(length)))) + cube(Pressure)) * Tin) + sin(square(Tin))) / 0.01266191) - tan(square(Tin))"
30,0.087978184,"((sin(square(Tin)) + (Pressure * cube((cube(Pressure) - ((square(length) + -1.6277276) * cube(square(q)))) + 1.3870964))) / 0.008665248) + tan(cube(sqrt(Pressure)))"
32,0.087602824,"((sin(square(Tin)) + (Pressure * cube((cube(Pressure) - (cube(square(q)) * (square(length) + -1.6277276))) + 1.3870964))) / 0.008665248) + (Tin + tan(cube(sqrt(Pressure))))"
33,0.08727697,"(tan(Tin) + (((sin(square(Tin)) + (cube((cube(Pressure) - (square(cube(q)) * (square(length) + -1.6267904))) + 1.3843169) * Pressure)) / 0.0048780376) * Tin)) + tan(q)"
34,0.08668852,"tan(Tin) + (tan(q - -0.14322084) + ((sin(square(Tin)) + (cube(1.3870294 + (cube(Pressure) - ((square(length) + -1.6285145) * square(cube(q))))) * Pressure)) / 0.00809312))"
35,0.08557151,"(tan(q) - tan(square(-1.1295114 - flow_steam))) + ((sin(square(Tin)) + (cube((1.3866934 + cube(Pressure)) - (square(cube(q)) * (square(length) + -1.625669))) * Pressure)) / 0.0038476074)"
37,0.08514875,"tan(Tin) + (tan(q - -0.14311327) + (((sin(square(Tin)) + (Pressure * cube((cube(Pressure) + 1.3870268) - (cube(square(q)) * (square(length) + -1.6282495))))) / 0.007723772) + tan(q)))"
38,0.08300016,"(tan(q) - tan(square(-1.1295114 - flow_steam))) + (tan(Tin) + ((sin(square(Tin)) + (cube((1.3866934 + cube(Pressure)) - (square(cube(q)) * (square(length) + -1.625669))) * Pressure)) / 0.0038476074))"
40,0.08291286,"(((tan(q) - tan(square(-1.1295114 - flow_steam))) + Tin) + tan(Tin)) + ((sin(square(Tin)) + (cube((1.3866934 + cube(Pressure)) - (cube(square(q)) * (square(length) + -1.625669))) * Pressure)) / 0.0038476074)"
41,0.08290916,"((tan(q) - tan(square(-1.1295114 - flow_steam))) + (tan(Tin) + ((sin(square(Tin)) + (cube((cube(Pressure) + 1.3866934) - (square(cube(q)) * (square(length) + -1.625669))) * Pressure)) / 0.0038476074))) / 0.22820573"
43,0.08290909,"((((tan(q) - tan(square(-1.1295114 - flow_steam))) + Tin) + tan(Tin)) + ((sin(square(Tin)) + (cube((1.3866934 + cube(Pressure)) - (cube(square(q)) * (square(length) + -1.625669))) * Pressure)) / 0.0038476074)) / 0.36923397"
