Complexity,Loss,Equation
1,0.9216622,"Pressure"
2,0.48130292,"tan(length)"
3,0.47129795,"cube(tan(length))"
4,0.47127274,"cube(cube(tan(length)))"
5,0.24986279,"inv(sin(q + length))"
6,0.22619483,"cube(inv(sin(length + q)))"
7,0.22254546,"sin(length + q) / 1.9108105e-5"
8,0.189981,"tan(sqrt(length * (q + 0.102235004)))"
9,0.18690924,"cube(tan(sqrt(length * (q + 0.102235004))))"
10,0.18179122,"square(Pressure * tan(q * length)) - cube(length)"
11,0.16218182,"1580.9153 / (exp(sqrt(Pressure) / cube(length)) - q)"
12,0.14479941,"(exp(cube(sqrt(sqrt(Pressure)) / length)) - q) * 85.732895"
13,0.13236363,"(exp((Pressure / cube(length)) * 0.8768005) - q) * 1.0862223e11"
17,0.12199404,"(exp(Pressure) + flow_steam) + (square(cube(q)) * (log(flow_shale / exp(square(length))) + flow_steam))"
18,0.11386686,"exp(Pressure + cos(q)) + (cube(square(q)) * (log(flow_shale / exp(square(length))) + flow_steam))"
19,0.11263926,"length + (Tin * (((flow_steam + log(flow_shale / exp(square(length)))) * square(cube(q))) + exp(Pressure)))"
20,0.10181818,"((square(cube(q)) * (log(flow_shale / exp(square(length))) + flow_steam)) + (flow_steam + exp(Pressure))) / 2.3100467e-6"
21,0.09818182,"((cube(square(q)) * (flow_steam + log(flow_shale / exp(square(length))))) + (exp(Pressure) + sqrt(Tin))) / 1.2327139e-17"
22,0.096727274,"(((cube(square(q)) * (flow_steam + log(sin(flow_shale / exp(square(length)))))) + exp(Pressure)) + sqrt(Tin)) / 1.2327139e-17"
24,0.08872727,"(exp(Pressure) + (((log(flow_shale / exp(square(length))) + flow_steam) * square(cube(q))) - sin(flow_shale * exp(flow_steam)))) / 2.3100467e-6"
26,0.081415065,"(((cube(square(q)) * (flow_steam + log(flow_shale / exp(square(length))))) + (exp(Pressure) + length)) / 0.062782675) - cube(flow_shale * square(flow_steam))"
27,0.08072727,"((cube(square(q)) * (log(flow_shale / exp(square(length))) + flow_steam)) + (exp(Pressure) - (length * sin(sin(exp(flow_steam * flow_shale)))))) / 2.9867301e-6"
29,0.08,"(((length + 2.0426095) + (cube(square(q)) * (log(sin((sqrt(flow_shale) * flow_shale) / exp(square(length))) / length) + flow_steam))) + cube(Pressure)) / 6.847007e-5"
30,0.07896518,"((cube(Pressure) + ((cube(square(q)) * (flow_steam + log(flow_shale * ((sqrt(flow_shale) / exp(square(length))) / length)))) + 3.9022105)) / 0.007787632) - cube(cube(flow_shale))"
31,0.07765175,"(((length + ((log((flow_shale / sqrt(q)) * (flow_shale / exp(square(length)))) + flow_steam) * cube(square(q)))) + exp(Pressure)) / 0.04366635) - square(cube(flow_shale * flow_steam))"
32,0.06358517,"(((cube(square(q)) * (flow_steam + log((flow_shale * sqrt(flow_shale / sqrt(q))) / exp(square(length))))) + (exp(Pressure) + length)) / 0.0406626) - cube(square(flow_steam * flow_shale))"
34,0.055886846,"((((square(cube(q)) * (log(flow_shale * (sqrt(flow_shale / q) / exp(square(length)))) + flow_steam)) + 4.500104) + cube(Pressure)) / 0.011825476) - cube(length * square(flow_steam * flow_shale))"
35,0.05588678,"((cube(Pressure) + ((square(cube(q)) * (flow_steam + log(flow_shale * ((sqrt(flow_shale) / sqrt(q)) / exp(square(length)))))) + 4.500104)) / 0.011825476) - cube(square(flow_steam * flow_shale) * length)"
36,0.05246069,"((((log(flow_shale * (sqrt(flow_shale / q) / exp(square(length)))) + flow_steam) * square(cube(q))) + (cube(Pressure) + 4.487928)) / 0.008507936) - (cube(length * square(flow_steam * flow_shale)) * flow_shale)"
37,0.049662974,"((((log(sqrt(flow_shale / q) * (flow_shale / exp(square(length)))) + flow_steam) * cube(square(q))) + (cube(Pressure) + 4.583729)) / 0.009348865) - square(length * cube((flow_steam - -0.18423727) * flow_shale))"
38,0.049662948,"(((cube(square(q)) * (log((flow_shale / sqrt(q)) * (sqrt(flow_shale) / exp(square(length)))) + flow_steam)) + (cube(Pressure) + 4.583729)) / 0.009348865) - square(length * cube((flow_steam - -0.18423727) * flow_shale))"
39,0.04950465,"(Pressure + (((cube(square(q)) * (flow_steam + log((flow_shale / exp(square(length))) * sqrt(flow_shale / q)))) + (4.583729 + cube(Pressure))) / 0.009352537)) - square(cube(flow_shale * (-0.18494137 - flow_steam)) * length)"
40,0.049231034,"(tan(Tin) + (((cube(Pressure) + 4.583729) + (square(cube(q)) * (flow_steam + log((sqrt(flow_shale / q) * flow_shale) / exp(square(length)))))) / 0.009349073)) - square(cube(flow_shale * (flow_steam - -0.18529582)) * length)"
41,0.046319183,"tan(tan(flow_steam)) + (((((log(sqrt(flow_shale / q) * (flow_shale / exp(square(length)))) + flow_steam) * cube(square(q))) + (cube(Pressure) + 4.583729)) / 0.009348937) - square(cube((-0.1849409 - flow_steam) * flow_shale) * length))"
43,0.04448797,"tan(tan(flow_steam)) + (flow_shale * ((((((flow_steam + log(sqrt(flow_shale / q) * (flow_shale / exp(square(length))))) * cube(square(q))) + cube(Pressure)) + 4.6155353) / 0.011072854) - square(length * cube((flow_steam - -0.16224208) * flow_shale))))"
45,0.044368632,"tan(tan(flow_steam)) + (flow_shale * (((((((flow_steam + log(sqrt(flow_shale / q) * (flow_shale / exp(square(length))))) * square(cube(q))) + cube(Pressure)) + 4.6155353) / 0.011072854) - square(length * cube((flow_steam - -0.16224208) * flow_shale))) - length))"
46,0.04411005,"(inv(tan(square(Pressure))) + (((4.6420608 + (cube(square(q)) * (flow_steam + log(flow_shale * (sqrt(flow_shale / q) / exp(square(length))))))) + cube(Pressure)) / 0.009300515)) - cube((square(flow_shale * flow_steam) - ((length - inv(flow_shale)) - flow_shale)) * length)"
47,0.043587256,"(flow_shale * ((((cube(Pressure) + 4.7043705) + (cube(square(q)) * (log(flow_shale * (sqrt(flow_shale / q) / exp(square(length)))) + flow_steam))) / 0.009548115) - cube(length * (square(flow_shale * flow_steam) - ((length - inv(flow_shale)) - flow_shale))))) + tan(tan(flow_steam))"
49,0.04313295,"(flow_shale * ((((4.7043705 + cube(Pressure)) + (cube(square(q)) * (log((flow_shale * sqrt(flow_shale / q)) / exp(square(length))) + flow_steam))) / 0.009548115) - cube(length * (square(flow_shale * flow_steam) - ((length - inv(flow_shale)) - flow_shale))))) + (tan(tan(flow_steam)) - length)"
50,0.042347245,"(flow_shale * (((((square(cube(q)) * (flow_steam + log((sqrt(flow_shale / q) / exp(square(length))) * flow_shale))) + cube(Pressure)) + 4.6276393) / 0.009138396) - (cube((square(flow_steam * flow_shale) - ((length - inv(flow_shale)) - flow_shale)) * length) - tan(Tin)))) + tan(tan(flow_steam))"
