Complexity,Loss,Equation
1,0.9229091,"x1"
3,0.58523965,"x5 - x1"
4,0.42513734,"47.93834 - x4"
5,0.42483816,"cube(47.931114 - x4)"
6,0.21799023,"cube(x5 / x4) - x1"
7,0.21682328,"cube(cube(x5 / x4) - x1)"
8,0.18839212,"cube(x5 / x4) - (x1 - x4)"
9,0.15832269,"(x1 * log(sqrt(x5) / x4)) + x5"
10,0.1463388,"((x5 + cube(x5 / x4)) - x1) - x1"
11,0.13527155,"x1 - cube((x4 * (x1 * 0.13128093)) / x5)"
12,0.13527144,"x1 - cube(x1 * sin(0.13128093 * (x4 / x5)))"
13,0.12302167,"cube(((x4 * (x3 - 0.14890493)) * x1) / x5) + x1"
14,0.119523436,"cube(sin((x3 - 0.1504355) * (x1 / x5)) * x4) + x1"
15,0.11674443,"x1 + cube(x1 * (((x3 - (0.16378452 - x2)) * x4) / x5))"
16,0.11239026,"(x1 / 0.26812604) + cube((x4 * x1) * ((x3 - 0.21995507) / x5))"
17,0.1112668,"cube(x4 * ((x1 / x5) * (x3 + (cube(sqrt(x2)) - 0.15217438)))) + x1"
18,0.103861526,"x1 + cube((((x3 - ((0.317207 - x2) * 0.5014146)) * x4) * x1) / x5)"
19,0.10363661,"cube(cube(((x3 - (0.50781125 * (0.31345314 - x2))) * x4) * (x1 / x5)) + x1)"
20,0.10327273,"(x1 + cube(((x4 * x1) / x5) * (x3 - (0.15983099 - (x2 * 0.5373682))))) * x0"
22,0.10109093,"cube(((x3 - 0.15172584) + sqrt(cube(x2))) * ((x1 * x4) / (x5 - cube(x3 * x4)))) + x1"
24,0.10109091,"(cube(((x3 + sqrt(cube(x2))) - 0.1519536) * ((x4 * x1) / (x5 - cube(x3 * x4)))) + x1) * x5"
26,0.09673209,"x1 + cube((x4 * ((((x3 - cube((x3 * x4) / log(square(x1)))) + sqrt(cube(x2))) - 0.15180701) * x1)) / x5)"
27,0.09670672,"cube((x1 / x5) * ((((x3 + cube(sin(sqrt(x2)))) - cube((x3 * x4) / log(square(x1)))) - 0.15164556) * x4)) + x1"
28,0.09623113,"x1 + cube(((x1 * x4) * ((((x3 + cube(sqrt(x2))) - 0.15122062) - cube((x3 * x4) / log(square(x1)))) / x5)) - x2)"
29,0.09562499,"cube((x1 * x4) * ((((x3 - 0.15127304) + sqrt(cube(x2))) - cube(x3 * 5.3095264)) / x5)) + (x1 + tan(x1 + tan(x0)))"
30,0.09427846,"(cube(x4 * ((((cube(sqrt(x2)) - cube((x3 * x4) / log(square(x1)))) + (x3 - 0.15156344)) / x5) * x1)) + x1) + tan(tan(x0))"
31,0.09417949,"tan(tan(x0)) + (x1 + cube((x4 * x1) * ((((cube(sin(sqrt(x2))) + x3) - 0.15152653) - cube(x4 * (x3 / log(square(x1))))) / x5)))"
32,0.08801983,"(x1 + tan(tan(x0) + x1)) + cube((x4 * x1) * ((((sqrt(cube(x2)) + x3) - 0.15209869) - cube((x3 * x4) / log(square(x1)))) / x5))"
33,0.08801954,"(x1 + tan(x1 + tan(x0))) + cube(x4 * ((x1 * (((x3 - 0.15209869) + cube(sqrt(x2))) - tan(cube((x3 * x4) / log(square(x1)))))) / x5))"
34,0.088,"((x1 + tan(tan(x0) + x1)) + cube((x4 * x1) * ((((x3 + sqrt(cube(x2))) - 0.15209869) - cube(x3 * (x4 / log(square(x1))))) / x5))) / x3"
36,0.087272726,"(tan(tan(x0) + x1) + (cube(x3 + (((x4 * x1) * (((x3 - 0.15150306) + sqrt(cube(x2))) - cube((x4 / log(square(x1))) * x3))) / x5)) + x1)) / x2"
37,0.08654545,"(((x1 + tan(tan(x0) + x1)) + cube((x4 * (x1 * ((x3 + (cube(sqrt(x2)) - 0.15209869)) - cube((x4 * x3) / log(square(x1)))))) / x5)) / x3) - tan(x4)"
39,0.08581818,"((((cube(x4 * ((x1 * (x3 + ((cube(sqrt(x2)) - 0.15180509) - cube((x4 * x3) / log(square(x1)))))) / x5)) + x1) + tan(tan(x0) + x1)) / x3) - tan(x4)) + x1"
43,0.08436364,"(((x1 + tan(tan(x0) + x1)) + cube(((x4 * x1) * (((x3 + cube(sqrt(x2))) - 0.15209869) - cube(x4 * (x3 / log(square(x1)))))) / x5)) / x3) - tan(tan((x2 + -0.09811147) + x1))"
48,0.083636366,"(((x1 + (tan(x1 + tan(x0)) + cube(x4 * ((x1 * (x3 + ((sqrt(cube(x2)) - 0.15209869) - cube((x3 * x4) / log(square(x1)))))) / x5)))) / x3) - ((x2 - tan(tan(tan(cube(sqrt(x1)))))) - -0.90222514)) * x5"
50,0.08291224,"((cube((((x3 - cube((x3 * x4) / log(square(x1)))) - 0.15117478) + cube(sqrt(x2))) * (x4 * (x1 / x5))) + (x1 - (sin(tan(x1 + x4)) / cos(log(x1 * x2))))) / 0.22580442) + (tan(x1 / 0.2674793) - tan(x4))"
