Complexity,Loss,Equation
1,0.94763637,"x5"
2,0.94763434,"5.3433046"
3,0.5680512,"x5 - x1"
4,0.42143762,"50.552975 - x4"
5,0.4158655,"2643.4106 - square(x4)"
6,0.2353936,"(x0 / sqrt(x1)) - x4"
7,0.16727339,"1109.4994 - (x4 * sqrt(x1))"
8,0.16727273,"cube(1108.9803 - (sqrt(x1) * x4))"
9,0.13390319,"x5 - (sqrt(cube(x4)) * (x1 / x5))"
10,0.13309091,"(x5 * x1) - cube((x1 * x4) / x5)"
11,0.12350952,"x5 + (x4 - ((x1 / x5) * sqrt(cube(x4))))"
12,0.11948385,"x5 - (((x1 + -26.422892) * sqrt(cube(x4))) / x5)"
13,0.11914996,"cube((x5 - (sqrt(cube(x4)) * (x1 / x5))) - -25.783037)"
14,0.11709091,"(x1 * x5) - cube(((x4 * x1) / x5) - sqrt(sqrt(x4)))"
15,0.11365483,"x5 - ((sqrt(cube((x4 * 0.94111544) - sin(x1))) * x1) / x5)"
16,0.11269198,"x5 - ((sqrt(cube((x4 - tan(sin(x1))) * 0.9512009)) * x1) / x5)"
17,0.112316705,"cube(x5 - (x1 * (cube(sqrt((x4 * 0.951725) - tan(sin(x1)))) / x5)))"
18,0.11075881,"x5 - ((cube(sqrt((x4 * (x2 - -0.91917944)) - tan(sin(x1)))) / x5) * x1)"
19,0.110414505,"x5 + (((x5 - x1) - (x4 + x4)) * (exp(sqrt(x4 - cos(tan(x5)))) / x5))"
20,0.1071191,"(((x5 - x1) - (x4 + x4)) * (exp(sqrt(x4 + cos(x0 - x1))) / x5)) + x5"
21,0.10542583,"(exp(sqrt(cos(x0 - log(x2)) + x4)) * (((x5 - x1) - (x4 + x4)) / x5)) + x5"
22,0.099928886,"(exp(sqrt(x4)) * (((x5 - x1) - (x4 + x4)) / x5)) + (((x3 + x2) * x5) * sqrt(x0))"
23,0.09991211,"(exp(sqrt(x4)) * (((x5 - x1) - (x4 + x4)) / x5)) + (x5 * (sqrt(x0) * sin(x3 + x2)))"
24,0.098923706,"((x5 * sqrt(x0)) * (x3 + x2)) + (exp(sqrt(x4)) * ((((x5 - x1) - (x4 + x4)) / x5) - x3))"
25,0.09537183,"((exp(sqrt(sin(x0) + x4)) / x5) * ((x5 - x1) - (x4 + x4))) + ((x3 + x2) * (sqrt(x0) * x5))"
26,0.09301912,"((((x5 - x1) - (x4 + x4)) * exp(sqrt(x4))) / x5) + (sqrt(x0) * ((x5 * (x3 + x2)) - tan(sin(x4))))"
27,0.09301189,"(((x5 - x1) - (x4 + x4)) * (exp(sqrt(x4)) / x5)) + (sqrt(x0) * (((x3 + tan(x2)) * x5) - tan(sin(x4))))"
28,0.088583626,"((x5 - (exp(sqrt(x4 * 0.3188874)) + x1)) * ((exp(sqrt(x4 / 2.4769938)) * 1.5232776) / x1)) + ((x2 + x3) * x0)"
29,0.088563755,"(tan(x2 + x3) * x0) + ((x5 - (exp(sqrt(x4 * 0.3188874)) + x1)) * ((exp(sqrt(x4 / 2.4769938)) * 1.5232776) / x1))"
30,0.08290909,"(((x5 - (exp(sqrt(x4 * 0.3188874)) + x1)) * (1.5232776 * (exp(sqrt(x4 / 2.4769938)) / x1))) + ((x2 + x3) * x0)) * x1"
32,0.08218184,"((((1.5232776 * (exp(sqrt(x4 / 2.4769938)) / x1)) * (x5 - (exp(sqrt(x4 * 0.3188874)) + x1))) + ((x2 + x3) * x0)) * x1) - x4"
33,0.080719225,"(((1.6310576 * (exp(sqrt(x4 / 2.5552542)) * (x5 - (x1 + exp(sqrt(0.31904945 * x4)))))) / x1) - (sin(x0) - (x0 * (x3 + x2)))) / x3"
34,0.08053935,"(((exp(sqrt(x4 / 2.5552542)) * ((x5 - (exp(sqrt(x4 * 0.31904945)) + x1)) / x1)) * 1.6310576) - (sin(x0) - (x0 * (x3 + x2)))) / sqrt(x3)"
35,0.07927707,"((((((x5 - (exp(sqrt(x4 * 0.31934306)) + x1)) * 1.5350362) / x1) * exp(sqrt(x4 / 2.4463937))) - (sin(x0) - ((x2 + x3) * x0))) / x2) + x4"
36,0.079272725,"((cos(x5) + (((x5 - (exp(sqrt(x4 * 0.31873086)) + x1)) * exp(sqrt(x4 / 2.4721816))) * (1.5289975 / x1))) - (sin(x0) - (x0 * (x2 + x3)))) * x5"
37,0.07709091,"(((x5 - (x1 + exp(sqrt(x4 * 0.31865078)))) * ((exp(sqrt(x4 / 2.4359581)) / x1) * 1.4746276)) - (x3 - (x0 * (x2 + x3)))) * (x0 + tan(x2 * x5))"
38,0.07490909,"(((x5 - (x1 + exp(sqrt(x4 * 0.31865078)))) * ((exp(sqrt(x4 / 2.4359581)) / x1) * 1.4746276)) - (sin(x0) - (x0 * (x2 + x3)))) * (x0 + tan(x2 * x5))"
